Alameda,144494091000,0.039,1965,682283505,6091,1352542307,365797,232321,7859,3909.11,485.159,41889632,2336522,1078950,179272,53443,32840,9948,58856,1669301,39821,149536,2356,4849,443972,192977,391815,69855,13634,562667,113908,235459,1078207,252195,1082749,261947,489759,95587,31070,822800,25400,0.03,152087,0.093,35658,0.105,Oakland
Alpine,230220000,0.09,4,1256629,0,   -   ,1073,676,34,242,136.195,174729,42243,1821,744,433,71,12,29,1162,24,1162,24,202,6,1,85,22,0,830,39,154,648,305,929,209,319,200,42,520,30,0.046,202,0.181,67,0.353,Markleeville
Amador,1864239000,0.039,172,40249994,0,   -   ,15545,1310,1423,721.52,458.993,1164821,288114,29750,15763,10862,2169,118,596,38294,4362,21774,151,594,454,1024,5311,1021,64,29802,1811,3812,21882,10765,28216,4791,6347,9809,1439,14120,590,0.04,3762,0.109,908,0.157,Jackson
Butte,10332996000,0.024,595,128664970,108,12499351,55404,19294,10749,2140.03,1201.758,5244885,1531569,127993,53777,44843,7095,1214,5824,226466,4970,78702,360,3361,10141,3666,35848,8801,474,166738,15015,31775,138840,43399,171388,30377,42093,41330,7398,97600,5100,0.049,40728,0.181,10208,0.226,Oroville
Calaveras,1642450000,-0.008,112,29518251,0,   -   ,24871,1068,2271,1317.51,1088.255,1144175,423260,38228,20700,15739,3031,197,860,45117,507,41277,460,532,589,371,5114,1320,71,36745,2280,4929,23928,13605,36052,6956,7935,12200,2173,20510,850,0.04,5904,0.131,1590,0.211,San Andreas
Colusa,1721047000,0.136,36,7988274,32,5314636,6153,1244,798,920.33,697.326,1800086,361913,12915,8097,8370,492,57,365,22117,251,10335,61,302,268,166,13215,310,63,8570,1819,4243,13293,3539,12541,2268,2710,3475,367,9550,1420,0.129,2633,0.122,912,0.154,Colusa
Contra Costa,82436416000,0.026,1627,587689613,1280,185988913,309597,99182,7283,3748.41,650.843,24074880,2314335,841902,156856,57906,27527,3880,27551,1155879,10475,173406,860,3333,176305,103842,294840,45537,5245,529600,75329,172284,712517,198572,756140,174686,305850,122364,27144,546800,17800,0.032,103883,0.091,29067,0.112,Martinez
Del Norte,1046680000,0.038,25,7601238,0,   -   ,7177,1622,2553,759.02,222.462,829059,198093,14447,7093,5211,845,137,595,27401,2984,20573,218,1854,989,886,5046,1038,29,17460,1758,3884,16575,5085,17960,3632,4172,4918,943,9410,550,0.055,6113,0.246,1949,0.339,Crescent City
El Dorado,8765718000,0.032,543,184804176,0,   -   ,76620,11242,4125,1617.9,1113.765,4869919,1960478,137800,48803,37855,8526,475,2864,191848,1705,158131,662,1673,7390,1380,25914,5555,272,148159,9960,26654,112044,41685,137976,30066,34739,48494,7727,88300,3300,0.036,15620,0.083,3602,0.096,Placerville
Fresno,47408857000,0.044,2213,632756774,716,71395427,234467,84878,14894,7048.25,3902.035,24466165,5766442,532328,182998,96015,17716,5889,27313,1018241,17628,175561,2123,6610,97763,49562,537390,19553,1219,309297,92179,190819,609436,128960,591840,114277,172730,150470,19193,414900,33400,0.075,205046,0.211,78675,0.283,Fresno
Glenn,1483786000,0.134,49,10774010,10,978000,8194,1591,1525,1211.19,926.818,1387925,289055,16885,10418,9500,846,80,603,29132,327,14513,99,483,713,201,11825,532,21,15684,2323,5113,17222,4801,18502,3197,3547,5375,682,11940,830,0.065,4111,0.148,1528,0.208,Willows
Humboldt,6817827000,0.028,178,32088367,201,7808994,44868,12128,6142,2140.42,1361.623,3637775,882690,79824,40923,26850,4857,571,3957,135333,5527,71930,1090,7091,3241,1611,15153,6004,356,102675,8722,19288,82536,25585,107633,20510,34027,17670,5702,60800,2200,0.036,26262,0.197,6347,0.247,Eureka
Imperial,8444865000,-0.018,274,51908811,126,8506800,37866,12512,7624,3961.16,2765.001,8038633,3087651,126697,44543,24191,3214,645,4293,190266,8613,38033,4020,1689,2407,4683,156971,1141,96,24470,18393,35545,111975,25544,99618,21018,32941,12738,2859,58200,12900,0.181,35830,0.207,14566,0.281,El Centro
Inyo,1346160000,0.008,0,   -   ,0,   -   ,5863,1081,2588,2267.37,1791.404,1797874,617637,13823,7785,5409,983,122,394,18593,404,14694,296,1802,243,117,3958,495,15,11911,1187,2638,10208,4508,13721,2482,3068,3968,607,8390,340,0.039,2087,0.118,648,0.176,Independence
Kern,49514180000,-0.007,2073,436309071,379,52166734,221655,54959,23060,7497.57,4131.597,25361740,5076525,451871,189980,104477,18210,5289,30268,916464,32414,318006,3128,6083,36404,49300,476000,17558,1134,331156,82604,173280,556676,105075,512007,100608,125717,132298,20238,356100,30900,0.08,182948,0.212,74276,0.29,Bakersfield
Kings,6145790000,0.031,294,79924136,58,4477499,36010,8397,2007,1952.43,1392.89,4452632,1328152,70296,27297,14925,2619,784,2701,153710,16204,33693,1967,1329,5390,9762,82410,3610,275,52306,14171,32935,91541,16435,78570,12103,16995,20991,2356,53400,4500,0.077,24810,0.184,9951,0.245,Hanford
Lake,2423297000,0.034,87,17334670,26,4480865,23756,2756,7897,904.74,578.959,1780072,520145,47887,22484,15786,2922,338,1341,65071,1132,45437,535,1654,808,1178,12854,2183,101,46474,4538,9208,36445,15061,49278,9713,12270,8685,2165,27590,1520,0.052,12817,0.202,3905,0.301,Lakeport
Lassen,1487738000,0.013,7,1554989,0,   -   ,9378,1050,2335,1706.48,1065.345,1297243,409344,15536,10013,9376,1037,254,531,30150,7596,15142,1199,845,314,2478,5373,822,151,20577,1844,3457,19950,5309,16873,3500,2817,7035,1024,9430,470,0.048,3790,0.163,940,0.18,Susanville
Los Angeles,787176672000,0.032,5957,2249032158,16052,3277468690,1965018,1545580,58300,21825.86,3200.08,222610547,11856763,6479206,1107381,283930,158309,58567,237814,10253716,183450,1046858,17685,20410,1395377,832355,5114541,213250,24597,2724168,714646,1542152,6548834,1519066,6214113,1553974,2682019,899159,222085,4896500,239800,0.047,1490853,0.149,457665,0.209,Los Angeles
Madera,7201526000,0.066,503,122116839,0,   -   ,41091,5993,3412,2515.94,2111.204,4717693,1293146,81173,34485,25661,3648,896,2969,159536,7404,74375,668,1830,2784,5012,92094,2455,112,55965,13309,28477,94956,23510,88431,14764,18152,22011,2922,57200,4300,0.07,31569,0.212,12075,0.286,Madera
Marin,23648191000,0.046,108,86904652,56,12725000,80104,30298,1992,1280.98,444.53,8024023,1204939,197609,32095,10742,7374,528,4694,262879,8283,69343,5091,600,15521,7027,44751,7704,459,186587,12991,37403,149241,63014,182127,41908,89526,23380,6571,137700,3400,0.024,20222,0.079,4262,0.082,San Rafael
Mariposa,910996000,0.018,34,9381880,2,275233,7254,838,2397,1103.37,962.492,558760,220286,13585,7817,5824,1024,67,211,18068,716,18068,716,471,223,138,1846,552,30,14667,920,1887,9865,5255,14939,2450,3010,4623,674,7260,410,0.053,2641,0.152,600,0.212,Mariposa
